id,generation,status,bottom_band,diagonal_band,seat_band,front_seat_band,lower_tunnel_collar_mm,upper_tunnel_collar_mm,volume_ratio,movement_indicator_mm,raw_2d_peak_MPa,inner_seat_ratio,score
3cdb19970c6e,2,PASS_REDUCED_CONTACT,1.6,1.9,5.0,2.0,3.85,2.3,1.009790840193518,4.284271060405904,13.234389286595299,0.9999272963939088,1.0703985037752037
810ee14049e5,2,PASS_REDUCED_CONTACT,1.7,2.1,5.0,2.0,3.5,2.3,1.01115388094278,4.236672656335376,69.80162688434334,0.9954991359176932,37.61536576332636
a6cc37a7dd35,2,PASS_REDUCED_CONTACT,1.75,2.1,4.55,2.0,3.3,2.5,1.0039773362185629,4.259320737104529,13.19353040132507,1.0797364354936294,1.0671285680283498
d557a0699156,2,PASS_REDUCED_CONTACT,1.6,1.95,5.0,1.9,3.8,2.25,1.0087372702915565,4.276558188201436,13.226185562530048,1.0000124119302793,1.0661005941956143
ada421c2efba,2,PASS_REDUCED_CONTACT,1.7,1.8,5.5,1.8,3.5,2.5,1.0103655227972204,4.2663479837332785,35.87979573229593,1.0206578085559805,6.925026577493094
f4fd4356efc8,2,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,4.05,2.95,1.0199973262100646,4.278063568902189,62.39859743088638,0.9956209189619513,28.69702122883701
eeaa68b47e89,2,PASS_REDUCED_CONTACT,1.6,1.95,5.0,2.0,3.4,2.7,1.00531443517763,4.28438322792065,13.201682969796579,0.9999117212087312,1.0659698004195564
eb5d99f18ced,2,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.5,2.65,1.0009579653271967,4.335470692963803,80.96161261620007,1.0000000065253318,53.496090378491225
19ba245410eb,2,PASS_REDUCED_CONTACT,1.6,1.8,5.45,1.8,3.5,2.75,1.0066476458106182,4.301799372640223,17.939897866147966,1.0314309024147625,1.3302738587703902
b17b2040923f,2,PASS_REDUCED_CONTACT,1.75,1.9,5.0,2.15,4.15,2.5,1.025227051048699,4.231404282334909,30.319448710019998,0.9954176209497273,4.401634480955955
48973a3c1989,2,PASS_REDUCED_CONTACT,1.75,1.7,5.5,2.0,3.5,2.5,1.013649667640145,4.260861004652905,13.239553680750735,1.020469416400829,1.0655248591725548
ccebfd21387e,2,PASS_REDUCED_CONTACT,1.6,1.8,5.0,1.8,3.3,2.5,0.9941404255041009,4.341703334558109,20.203337032963958,1.0001894484424094,1.6371227623959108
f235641eba62,2,PASS_REDUCED_CONTACT,1.75,1.95,5.25,2.2,3.5,2.25,1.0176480740877833,4.217628454925517,70.5651601280603,1.0739994058846563,38.61994158610196
f45eb54fe665,2,PASS_REDUCED_CONTACT,1.6,2.0,5.05,1.8,3.5,2.5,1.0049458261543303,4.2787538174588455,54.59479821792015,1.0835932998689135,20.62471507577728
3032cdd34285,2,PASS_REDUCED_CONTACT,1.7,1.9,5.45,1.8,3.5,2.3,1.0130829722274972,4.226443241667217,20.203337032963958,1.0268224557359722,1.6083906552377685
ffc5cab8d32d,2,PASS_REDUCED_CONTACT,1.6,1.8,5.35,2.0,3.8,2.5,1.0113167290895408,4.303772137759418,80.76346108102018,1.0267673757410476,53.186469850788804
1ec80eb42070,2,PASS_REDUCED_CONTACT,1.6,1.95,5.5,2.0,3.5,2.65,1.014522664275431,4.243359057763818,20.02944793749038,1.0237947862530064,1.5881261338366712
150110b4402b,2,PASS_REDUCED_CONTACT,1.65,1.95,5.25,2.2,3.5,2.5,1.0139758419601286,4.254698964353374,13.206967315632905,1.0771538652990689,1.0745349516533136
0b8fd35c6a7e,2,PASS_REDUCED_CONTACT,1.6,1.8,5.1,2.0,3.5,2.5,1.0018553770370326,4.327958893787907,13.231137360437693,1.0729084427610787,1.0931544365925034
b71a71a9f369,2,PASS_REDUCED_CONTACT,1.75,2.1,4.75,2.2,3.5,2.5,1.013058358808971,4.238483882219386,13.200105782709635,1.0033514933951682,1.0557367453837492
8cf52123bc8b,2,PASS_REDUCED_CONTACT,1.6,1.7,5.2,2.1,3.25,2.5,0.9989620642983883,4.3369777057172625,159.01293230167903,1.084198285928133,243.90301119808305
693613119e4d,2,PASS_REDUCED_CONTACT,1.75,1.95,5.0,1.95,3.7,2.5,1.0158523188850317,4.23255643158145,13.21690173158908,0.9955679526212345,1.056414189287455
219ddc696172,2,PASS_REDUCED_CONTACT,1.6,1.9,5.0,2.15,3.8,2.5,1.0118895287614273,4.284008958854468,61.87678062678062,0.9997988822260155,28.108288619137866
3576e3fef1e2,2,PASS_REDUCED_CONTACT,1.5,1.8,5.5,2.0,3.5,2.3,1.0036091120423491,4.3374232360221265,13.232339993669685,1.0273963685780787,1.090501086944897
f891c2b54fa3,3,PASS_REDUCED_CONTACT,1.6,1.95,4.75,2.25,3.5,2.65,1.0062581388766199,4.29712790620929,139.67328970622057,1.0085359544903296,183.72883550389116
dbc931f5b581,3,PASS_REDUCED_CONTACT,1.6,1.9,5.0,2.1,3.5,2.75,1.0074611793933703,4.290883077335947,134.30696712658448,0.9998345175872282,168.55196987394183
3fe4e4bbba77,3,PASS_REDUCED_CONTACT,1.6,1.95,5.0,2.0,3.5,2.75,1.00753890841385,4.282089985790562,13.204928074222025,0.9999115475317383,1.0672199784763396
b0ec24a9470a,3,PASS_REDUCED_CONTACT,1.85,1.8,5.0,2.2,3.5,2.5,1.0147741699954558,4.245955966155543,68.10897435897435,0.9926218206532179,35.46712312268848
299a8100259a,3,PASS_REDUCED_CONTACT,1.75,1.7,5.5,2.0,3.25,2.65,1.0098449078558582,4.266861738719878,52.64717899456608,1.02047095318203,18.81415611938808
3ae47c0e2f6d,3,PASS_REDUCED_CONTACT,1.6,1.95,5.25,2.0,3.4,2.5,1.0081721925777722,4.267073086076076,114.24565017835057,1.0792679876569595,117.65277378532285
2b607869700a,3,PASS_REDUCED_CONTACT,1.6,1.95,5.4,1.95,3.85,2.5,1.0181555212575446,4.244556882356074,13.232140851840647,1.0527968150522689,1.06858659690758
a17daa647b03,3,PASS_REDUCED_CONTACT,1.6,2.05,5.0,1.8,3.4,2.7,1.003850779098892,4.279489667640675,48.57563548046364,1.0000825558853192,15.334869771440191
0e0c686d4694,3,PASS_REDUCED_CONTACT,1.65,1.8,5.0,2.15,3.4,2.75,1.003332479527657,4.32803205748112,65.56590708542832,0.9982601274624834,32.37603876526653
47c1e90ca52b,3,PASS_REDUCED_CONTACT,1.6,1.7,5.0,1.85,3.5,2.25,0.9959596647108786,4.346526188382397,145.59831227258184,1.0001717406074617,201.26166516323048
da754e5728dc,3,PASS_REDUCED_CONTACT,1.75,1.95,5.0,2.1,3.15,2.35,1.0064091246203395,4.244174313264107,77.41483055730973,0.9954381013984664,48.11649648123552
